place,Jurisdiction,Age,Females,Males,year
42495,Lakeside,60-64,0,0,2012
43000,Lakewood,60-64,4438,4078,2012
43550,Larkspur,60-64,5,7,2012
45255,Littleton,60-64,1266,981,2012
45955,Lone Tree,60-64,297,268,2012
45970,Longmont,60-64,2143,1861,2012
46355,Louisville,60-64,616,593,2012
47070,Lyons,60-64,100,36,2012
49600,Mead,60-64,70,85,2012
52075,Morrison,60-64,26,5,2012
52350,Mountain View,60-64,12,10,2012
53175,Nederland,60-64,34,24,2012
54330,Northglenn,60-64,807,670,2012
57630,Parker,60-64,594,520,2012
60160,Platteville,60-64,39,71,2012
69645,Sheridan,60-64,166,78,2012
70360,Silver Plume,60-64,6,13,2012
75640,Superior,60-64,154,122,2012
77290,Thornton,60-64,2023,2126,2012
82735,Ward,60-64,2,2,2012
83835,Westminster,60-64,2927,2470,2012
84440,Wheat Ridge,60-64,910,1102,2012
8124,Weld County (DRCOG),60-64,1350,1373,2012
8000,Region,60-64,74253,70819,2012
3455,Arvada,65-69,2680,2079,2012
4000,Aurora,65-69,6107,4647,2012
6090,Bennett,65-69,23,40,2012
7025,Black Hawk,65-69,8,7,2012
7850,Boulder City,65-69,1480,1230,2012
8001,Adams County,65-69,7185,5927,2012
8005,Arapahoe County,65-69,11086,9184,2012
8013,Boulder County,65-69,5377,4869,2012
8014,Broomfield City/County,65-69,970,826,2012
8019,Clear Creek County,65-69,226,267,2012
8031,Denver City/County,65-69,10509,8716,2012
8035,Douglas County,65-69,4468,4146,2012
8047,Gilpin County,65-69,95,230,2012
8059,Jefferson County,65-69,12129,10517,2012
8070,Bow Mar,65-69,15,13,2012
8123,Weld County,65-69,3925,3837,2012
8675,Brighton,65-69,555,278,2012
12387,Castle Pines,65-69,216,196,2012
12415,Castle Rock,65-69,765,518,2012
12815,Centennial,65-69,2092,2093,2012
12910,Central City,65-69,5,7,2012
13845,Cherry Hills Village,65-69,138,203,2012
16385,Columbine Valley,65-69,47,41,2012
16495,Commerce City,65-69,458,631,2012
19080,Dacono,65-69,62,17,2012
19630,Deer Trail,65-69,0,10,2012
23135,Edgewater,65-69,123,58,2012
23740,Elizabeth,65-69,7,2,2012
24620,Empire,65-69,2,16,2012
24785,Englewood,65-69,424,500,2012
24950,Erie,65-69,297,280,2012
26270,Federal Heights,65-69,234,324,2012
26600,Firestone,65-69,72,125,2012
27700,Fort Lupton,65-69,96,182,2012
28105,Foxfield,65-69,20,37,2012
28360,Frederick,65-69,85,99,2012
29735,Georgetown,65-69,16,26,2012
30340,Glendale,65-69,42,11,2012
30835,Golden,65-69,381,374,2012
33035,Greenwood Village,65-69,420,313,2012
37820,Hudson,65-69,36,47,2012
38370,Idaho Springs,65-69,56,29,2012
39195,Jamestown,65-69,0,10,2012
40185,Keenesburg,65-69,9,25,2012
40790,Kiowa,65-69,25,18,2012
41835,Lafayette,65-69,411,386,2012
42495,Lakeside,65-69,0,0,2012
43000,Lakewood,65-69,3302,2846,2012
43550,Larkspur,65-69,3,3,2012
45255,Littleton,65-69,1130,817,2012
45955,Lone Tree,65-69,272,197,2012
45970,Longmont,65-69,1555,1330,2012
46355,Louisville,65-69,290,252,2012
47070,Lyons,65-69,45,44,2012
49600,Mead,65-69,85,60,2012
52075,Morrison,65-69,5,16,2012
52350,Mountain View,65-69,20,11,2012
53175,Nederland,65-69,16,0,2012
54330,Northglenn,65-69,723,542,2012
57630,Parker,65-69,459,421,2012
60160,Platteville,65-69,88,40,2012
69645,Sheridan,65-69,212,67,2012
70360,Silver Plume,65-69,9,2,2012
75640,Superior,65-69,64,133,2012
77290,Thornton,65-69,1723,1243,2012
82735,Ward,65-69,5,2,2012
83835,Westminster,65-69,1744,1397,2012
84440,Wheat Ridge,65-69,721,477,2012
8124,Weld County (DRCOG),65-69,945,835,2012
8000,Region,65-69,52990,45517,2012
3455,Arvada,70-74,1771,1430,2012
4000,Aurora,70-74,3477,3265,2012
6090,Bennett,70-74,22,10,2012
7025,Black Hawk,70-74,0,0,2012
7850,Boulder City,70-74,960,847,2012
8001,Adams County,70-74,4717,4124,2012
8005,Arapahoe County,70-74,6772,6085,2012
8013,Boulder County,70-74,3598,3282,2012
8014,Broomfield City/County,70-74,653,651,2012
8019,Clear Creek County,70-74,136,163,2012
8031,Denver City/County,70-74,7354,6141,2012
8035,Douglas County,70-74,2513,2597,2012
8047,Gilpin County,70-74,76,25,2012
8059,Jefferson County,70-74,8198,7200,2012
8070,Bow Mar,70-74,22,15,2012
8123,Weld County,70-74,3414,3202,2012
8675,Brighton,70-74,291,314,2012
12387,Castle Pines,70-74,136,148,2012
12415,Castle Rock,70-74,363,424,2012
12815,Centennial,70-74,1247,989,2012
12910,Central City,70-74,2,6,2012
13845,Cherry Hills Village,70-74,85,122,2012
16385,Columbine Valley,70-74,42,49,2012
16495,Commerce City,70-74,389,315,2012
19080,Dacono,70-74,52,97,2012
19630,Deer Trail,70-74,8,4,2012
23135,Edgewater,70-74,60,81,2012
23740,Elizabeth,70-74,24,2,2012
24620,Empire,70-74,3,0,2012
24785,Englewood,70-74,499,341,2012
24950,Erie,70-74,124,172,2012
26270,Federal Heights,70-74,217,135,2012
26600,Firestone,70-74,30,62,2012
27700,Fort Lupton,70-74,64,84,2012
28105,Foxfield,70-74,11,13,2012
28360,Frederick,70-74,88,120,2012
29735,Georgetown,70-74,16,18,2012
30340,Glendale,70-74,0,0,2012
30835,Golden,70-74,203,154,2012
33035,Greenwood Village,70-74,183,304,2012
37820,Hudson,70-74,7,18,2012
38370,Idaho Springs,70-74,22,32,2012
39195,Jamestown,70-74,1,7,2012
40185,Keenesburg,70-74,4,24,2012
40790,Kiowa,70-74,21,17,2012
41835,Lafayette,70-74,246,196,2012
42495,Lakeside,70-74,0,0,2012
43000,Lakewood,70-74,2678,2125,2012
43550,Larkspur,70-74,9,0,2012
45255,Littleton,70-74,827,666,2012
45955,Lone Tree,70-74,153,100,2012
45970,Longmont,70-74,1207,872,2012
46355,Louisville,70-74,190,176,2012
47070,Lyons,70-74,26,37,2012
49600,Mead,70-74,36,56,2012
52075,Morrison,70-74,27,8,2012
52350,Mountain View,70-74,20,20,2012
53175,Nederland,70-74,19,9,2012
54330,Northglenn,70-74,410,356,2012
57630,Parker,70-74,372,225,2012
60160,Platteville,70-74,10,26,2012
69645,Sheridan,70-74,133,170,2012
70360,Silver Plume,70-74,0,0,2012
75640,Superior,70-74,104,73,2012
77290,Thornton,70-74,980,943,2012
82735,Ward,70-74,0,0,2012
83835,Westminster,70-74,1224,994,2012
84440,Wheat Ridge,70-74,501,454,2012
8124,Weld County (DRCOG),70-74,485,799,2012
8000,Region,70-74,34502,31067,2012
3455,Arvada,75-79,1503,1259,2012
4000,Aurora,75-79,3066,2120,2012
6090,Bennett,75-79,6,22,2012
7025,Black Hawk,75-79,0,1,2012
7850,Boulder City,75-79,883,674,2012
8001,Adams County,75-79,3895,3109,2012
8005,Arapahoe County,75-79,5891,4443,2012
8013,Boulder County,75-79,2982,2324,2012
8014,Broomfield City/County,75-79,534,417,2012
8019,Clear Creek County,75-79,30,43,2012
8031,Denver City/County,75-79,5982,4365,2012
8035,Douglas County,75-79,2086,1674,2012
8047,Gilpin County,75-79,33,37,2012
8059,Jefferson County,75-79,6485,5430,2012
8070,Bow Mar,75-79,11,9,2012
8123,Weld County,75-79,2199,1918,2012
8675,Brighton,75-79,236,251,2012
12387,Castle Pines,75-79,31,29,2012
12415,Castle Rock,75-79,232,208,2012
12815,Centennial,75-79,1214,1108,2012
12910,Central City,75-79,0,0,2012
13845,Cherry Hills Village,75-79,77,52,2012
16385,Columbine Valley,75-79,39,27,2012
16495,Commerce City,75-79,307,235,2012
19080,Dacono,75-79,54,47,2012
19630,Deer Trail,75-79,11,2,2012
23135,Edgewater,75-79,47,55,2012
23740,Elizabeth,75-79,2,9,2012
24620,Empire,75-79,0,2,2012
24785,Englewood,75-79,394,205,2012
24950,Erie,75-79,34,45,2012
26270,Federal Heights,75-79,142,99,2012
26600,Firestone,75-79,38,41,2012
27700,Fort Lupton,75-79,81,107,2012
28105,Foxfield,75-79,15,14,2012
28360,Frederick,75-79,37,49,2012
29735,Georgetown,75-79,6,7,2012
30340,Glendale,75-79,0,0,2012
30835,Golden,75-79,184,103,2012
33035,Greenwood Village,75-79,230,157,2012
37820,Hudson,75-79,20,0,2012
38370,Idaho Springs,75-79,11,9,2012
39195,Jamestown,75-79,1,0,2012
40185,Keenesburg,75-79,17,20,2012
40790,Kiowa,75-79,13,0,2012
41835,Lafayette,75-79,253,246,2012
42495,Lakeside,75-79,0,0,2012
43000,Lakewood,75-79,2047,1738,2012
43550,Larkspur,75-79,2,0,2012
45255,Littleton,75-79,703,450,2012
45955,Lone Tree,75-79,56,33,2012
45970,Longmont,75-79,945,787,2012
46355,Louisville,75-79,221,61,2012
47070,Lyons,75-79,4,8,2012
49600,Mead,75-79,47,37,2012
52075,Morrison,75-79,11,4,2012
52350,Mountain View,75-79,2,4,2012
53175,Nederland,75-79,10,10,2012
54330,Northglenn,75-79,654,496,2012
57630,Parker,75-79,186,95,2012
60160,Platteville,75-79,26,30,2012
69645,Sheridan,75-79,60,57,2012
70360,Silver Plume,75-79,0,2,2012
75640,Superior,75-79,0,8,2012
77290,Thornton,75-79,662,559,2012
82735,Ward,75-79,0,0,2012
83835,Westminster,75-79,1010,623,2012
84440,Wheat Ridge,75-79,647,347,2012
8124,Weld County (DRCOG),75-79,464,403,2012
8000,Region,75-79,28382,22245,2012
3455,Arvada,80-84,1107,943,2012
4000,Aurora,80-84,2373,1419,2012
6090,Bennett,80-84,6,0,2012
7025,Black Hawk,80-84,12,0,2012
7850,Boulder City,80-84,704,549,2012
8001,Adams County,80-84,2758,1753,2012
8005,Arapahoe County,80-84,4760,2968,2012
8013,Boulder County,80-84,2041,1475,2012
8014,Broomfield City/County,80-84,338,292,2012
8019,Clear Creek County,80-84,101,47,2012
8031,Denver City/County,80-84,5790,3556,2012
8035,Douglas County,80-84,1251,919,2012
8047,Gilpin County,80-84,17,36,2012
8059,Jefferson County,80-84,5745,3699,2012
8070,Bow Mar,80-84,10,8,2012
8123,Weld County,80-84,2084,1247,2012
8675,Brighton,80-84,338,101,2012
12387,Castle Pines,80-84,24,43,2012
12415,Castle Rock,80-84,267,97,2012
12815,Centennial,80-84,888,571,2012
12910,Central City,80-84,0,0,2012
13845,Cherry Hills Village,80-84,65,47,2012
16385,Columbine Valley,80-84,21,21,2012
16495,Commerce City,80-84,179,164,2012
19080,Dacono,80-84,29,18,2012
19630,Deer Trail,80-84,4,6,2012
23135,Edgewater,80-84,48,22,2012
23740,Elizabeth,80-84,11,3,2012
24620,Empire,80-84,0,2,2012
24785,Englewood,80-84,449,284,2012
24950,Erie,80-84,86,4,2012
26270,Federal Heights,80-84,47,112,2012
26600,Firestone,80-84,0,14,2012
27700,Fort Lupton,80-84,29,47,2012
28105,Foxfield,80-84,3,8,2012
28360,Frederick,80-84,88,0,2012
29735,Georgetown,80-84,13,9,2012
30340,Glendale,80-84,0,0,2012
30835,Golden,80-84,145,153,2012
33035,Greenwood Village,80-84,76,86,2012
37820,Hudson,80-84,0,0,2012
38370,Idaho Springs,80-84,16,27,2012
39195,Jamestown,80-84,1,0,2012
40185,Keenesburg,80-84,8,7,2012
40790,Kiowa,80-84,6,2,2012
41835,Lafayette,80-84,162,116,2012
42495,Lakeside,80-84,0,0,2012
43000,Lakewood,80-84,1846,1196,2012
43550,Larkspur,80-84,0,0,2012
45255,Littleton,80-84,705,406,2012
45955,Lone Tree,80-84,27,67,2012
45970,Longmont,80-84,745,525,2012
46355,Louisville,80-84,117,53,2012
47070,Lyons,80-84,23,4,2012
49600,Mead,80-84,39,0,2012
52075,Morrison,80-84,16,27,2012
52350,Mountain View,80-84,24,0,2012
53175,Nederland,80-84,0,4,2012
54330,Northglenn,80-84,147,202,2012
57630,Parker,80-84,77,40,2012
60160,Platteville,80-84,16,0,2012
69645,Sheridan,80-84,36,27,2012
70360,Silver Plume,80-84,0,0,2012
75640,Superior,80-84,0,13,2012
77290,Thornton,80-84,652,312,2012
82735,Ward,80-84,0,0,2012
83835,Westminster,80-84,899,477,2012
84440,Wheat Ridge,80-84,610,201,2012
8124,Weld County (DRCOG),80-84,418,169,2012
8000,Region,80-84,23219,14914,2012
3455,Arvada,85+,1174,617,2012
4000,Aurora,85+,2512,1065,2012
6090,Bennett,85+,12,5,2012
7025,Black Hawk,85+,0,0,2012
7850,Boulder City,85+,1144,451,2012
8001,Adams County,85+,2772,1356,2012
8005,Arapahoe County,85+,5230,2537,2012
8013,Boulder County,85+,2875,1335,2012
8014,Broomfield City/County,85+,618,178,2012
8019,Clear Creek County,85+,56,71,2012
8031,Denver City/County,85+,7156,3492,2012
8035,Douglas County,85+,850,537,2012
8047,Gilpin County,85+,0,12,2012
8059,Jefferson County,85+,5676,2953,2012
8070,Bow Mar,85+,13,16,2012
8123,Weld County,85+,1717,1046,2012
8675,Brighton,85+,270,131,2012
12387,Castle Pines,85+,15,7,2012
12415,Castle Rock,85+,184,27,2012
12815,Centennial,85+,922,547,2012
12910,Central City,85+,0,0,2012
13845,Cherry Hills Village,85+,58,40,2012
16385,Columbine Valley,85+,16,12,2012
16495,Commerce City,85+,130,133,2012
19080,Dacono,85+,6,0,2012
19630,Deer Trail,85+,11,0,2012
23135,Edgewater,85+,28,14,2012
23740,Elizabeth,85+,6,0,2012
24620,Empire,85+,0,6,2012
24785,Englewood,85+,596,290,2012
24950,Erie,85+,69,25,2012
26270,Federal Heights,85+,121,24,2012
26600,Firestone,85+,0,15,2012
27700,Fort Lupton,85+,51,45,2012
28105,Foxfield,85+,4,3,2012
28360,Frederick,85+,26,14,2012
29735,Georgetown,85+,10,0,2012
30340,Glendale,85+,53,0,2012
30835,Golden,85+,113,46,2012
33035,Greenwood Village,85+,86,42,2012
37820,Hudson,85+,0,9,2012
38370,Idaho Springs,85+,15,28,2012
39195,Jamestown,85+,0,0,2012
40185,Keenesburg,85+,10,7,2012
40790,Kiowa,85+,8,0,2012
41835,Lafayette,85+,129,56,2012
42495,Lakeside,85+,0,0,2012
43000,Lakewood,85+,1936,1060,2012
43550,Larkspur,85+,0,0,2012
45255,Littleton,85+,742,390,2012
45955,Lone Tree,85+,15,40,2012
45970,Longmont,85+,958,442,2012
46355,Louisville,85+,327,99,2012
47070,Lyons,85+,4,6,2012
49600,Mead,85+,0,4,2012
52075,Morrison,85+,90,0,2012
52350,Mountain View,85+,3,2,2012
53175,Nederland,85+,12,0,2012
54330,Northglenn,85+,228,89,2012
57630,Parker,85+,89,79,2012
60160,Platteville,85+,0,21,2012
69645,Sheridan,85+,37,46,2012
70360,Silver Plume,85+,0,0,2012
75640,Superior,85+,29,22,2012
77290,Thornton,85+,701,326,2012
82735,Ward,85+,0,0,2012
83835,Westminster,85+,828,371,2012
84440,Wheat Ridge,85+,892,451,2012
8124,Weld County (DRCOG),85+,159,176,2012
8000,Region,85+,25392,12647,2012
3455,Arvada,0-4,3026,3235,2013
4000,Aurora,0-4,13461,14786,2013
6090,Bennett,0-4,46,50,2013
7025,Black Hawk,0-4,0,12,2013
7850,Boulder City,0-4,1884,2086,2013
8001,Adams County,0-4,18285,19336,2013
8005,Arapahoe County,0-4,19624,20777,2013
8013,Boulder County,0-4,7879,8356,2013
8014,Broomfield City/County,0-4,1872,1973,2013
8019,Clear Creek County,0-4,222,177,2013
8031,Denver City/County,0-4,21628,22510,2013
8035,Douglas County,0-4,10130,10908,2013
8047,Gilpin County,0-4,93,121,2013
8059,Jefferson County,0-4,14610,15235,2013
8070,Bow Mar,0-4,25,14,2013
8123,Weld County,0-4,9617,10293,2013
8675,Brighton,0-4,1309,1071,2013
12387,Castle Pines,0-4,381,223,2013
12415,Castle Rock,0-4,2172,2400,2013
12815,Centennial,0-4,2525,2813,2013
12910,Central City,0-4,13,11,2013
13845,Cherry Hills Village,0-4,106,66,2013
16385,Columbine Valley,0-4,27,32,2013
16495,Commerce City,0-4,2822,2691,2013
19080,Dacono,0-4,75,217,2013
19630,Deer Trail,0-4,15,17,2013
23135,Edgewater,0-4,125,248,2013
23740,Elizabeth,0-4,46,49,2013
24620,Empire,0-4,34,3,2013
24785,Englewood,0-4,1085,1023,2013
24950,Erie,0-4,831,789,2013
26270,Federal Heights,0-4,393,550,2013
26600,Firestone,0-4,732,717,2013
27700,Fort Lupton,0-4,317,312,2013
28105,Foxfield,0-4,17,0,2013
28360,Frederick,0-4,438,307,2013
29735,Georgetown,0-4,8,26,2013
30340,Glendale,0-4,78,92,2013
30835,Golden,0-4,380,568,2013
33035,Greenwood Village,0-4,213,188,2013
37820,Hudson,0-4,84,64,2013
38370,Idaho Springs,0-4,80,29,2013
39195,Jamestown,0-4,4,4,2013
40185,Keenesburg,0-4,27,49,2013
40790,Kiowa,0-4,16,18,2013
41835,Lafayette,0-4,880,1033,2013
42495,Lakeside,0-4,0,0,2013
43000,Lakewood,0-4,4113,4407,2013
43550,Larkspur,0-4,4,5,2013
45255,Littleton,0-4,1276,1397,2013
45955,Lone Tree,0-4,440,335,2013
45970,Longmont,0-4,3077,3127,2013
46355,Louisville,0-4,484,523,2013
47070,Lyons,0-4,114,108,2013
49600,Mead,0-4,152,60,2013
52075,Morrison,0-4,4,3,2013
52350,Mountain View,0-4,3,7,2013
53175,Nederland,0-4,62,48,2013
54330,Northglenn,0-4,1250,1607,2013
57630,Parker,0-4,1610,2034,2013
60160,Platteville,0-4,51,79,2013
69645,Sheridan,0-4,278,102,2013
70360,Silver Plume,0-4,11,3,2013
75640,Superior,0-4,454,465,2013
77290,Thornton,0-4,4984,5073,2013
82735,Ward,0-4,0,0,2013
83835,Westminster,0-4,3767,3864,2013
84440,Wheat Ridge,0-4,813,671,2013
8124,Weld County (DRCOG),0-4,2624,2671,2013
8000,Region,0-4,96967,102064,2013
3455,Arvada,5-9,3705,3370,2013
4000,Aurora,5-9,12375,14147,2013
6090,Bennett,5-9,37,76,2013
7025,Black Hawk,5-9,0,0,2013
7850,Boulder City,5-9,2149,1926,2013
8001,Adams County,5-9,17620,19083,2013
8005,Arapahoe County,5-9,20124,22207,2013
8013,Boulder County,5-9,8751,9220,2013
8014,Broomfield City/County,5-9,2186,1878,2013
8019,Clear Creek County,5-9,201,215,2013
8031,Denver City/County,5-9,18987,19465,2013
8035,Douglas County,5-9,13031,13271,2013
8047,Gilpin County,5-9,141,149,2013
8059,Jefferson County,5-9,16367,16216,2013
8070,Bow Mar,5-9,41,37,2013
8123,Weld County,5-9,11017,10596,2013
8675,Brighton,5-9,1515,1514,2013
12387,Castle Pines,5-9,712,549,2013
12415,Castle Rock,5-9,2426,2478,2013
12815,Centennial,5-9,3209,3325,2013
12910,Central City,5-9,34,7,2013
13845,Cherry Hills Village,5-9,205,276,2013
16385,Columbine Valley,5-9,47,40,2013
16495,Commerce City,5-9,2257,1944,2013
19080,Dacono,5-9,206,202,2013
19630,Deer Trail,5-9,13,17,2013
23135,Edgewater,5-9,123,177,2013
23740,Elizabeth,5-9,66,105,2013
24620,Empire,5-9,3,0,2013
24785,Englewood,5-9,664,1005,2013
24950,Erie,5-9,928,943,2013
26270,Federal Heights,5-9,424,552,2013
26600,Firestone,5-9,535,632,2013
27700,Fort Lupton,5-9,348,382,2013
28105,Foxfield,5-9,26,29,2013
28360,Frederick,5-9,424,527,2013
29735,Georgetown,5-9,24,24,2013
30340,Glendale,5-9,36,96,2013
30835,Golden,5-9,397,502,2013
33035,Greenwood Village,5-9,384,397,2013
37820,Hudson,5-9,31,65,2013
38370,Idaho Springs,5-9,7,60,2013
39195,Jamestown,5-9,3,8,2013
40185,Keenesburg,5-9,92,93,2013
40790,Kiowa,5-9,48,36,2013
41835,Lafayette,5-9,630,845,2013
42495,Lakeside,5-9,0,0,2013
43000,Lakewood,5-9,3688,3883,2013
43550,Larkspur,5-9,1,4,2013
45255,Littleton,5-9,1264,1175,2013
45955,Lone Tree,5-9,517,437,2013
45970,Longmont,5-9,3236,3590,2013
46355,Louisville,5-9,497,558,2013
47070,Lyons,5-9,75,106,2013
49600,Mead,5-9,155,225,2013
52075,Morrison,5-9,7,1,2013
52350,Mountain View,5-9,15,26,2013
53175,Nederland,5-9,48,65,2013
54330,Northglenn,5-9,1066,1391,2013
57630,Parker,5-9,2099,2345,2013
60160,Platteville,5-9,82,74,2013
69645,Sheridan,5-9,137,158,2013
70360,Silver Plume,5-9,1,0,2013
75640,Superior,5-9,546,544,2013
77290,Thornton,5-9,5205,5757,2013
82735,Ward,5-9,0,16,2013
83835,Westminster,5-9,3542,3687,2013
84440,Wheat Ridge,5-9,788,1006,2013
8124,Weld County (DRCOG),5-9,2650,2790,2013
8000,Region,5-9,100058,104494,2013
3455,Arvada,10-14,3651,3801,2013
4000,Aurora,10-14,11697,10907,2013
6090,Bennett,10-14,73,98,2013
7025,Black Hawk,10-14,0,0,2013
7850,Boulder City,10-14,1692,2061,2013
8001,Adams County,10-14,17427,17449,2013
8005,Arapahoe County,10-14,20172,20073,2013
8013,Boulder County,10-14,8927,9230,2013
8014,Broomfield City/County,10-14,2028,2442,2013
8019,Clear Creek County,10-14,238,278,2013
8031,Denver City/County,10-14,15482,16097,2013
8035,Douglas County,10-14,12548,13518,2013
8047,Gilpin County,10-14,234,110,2013
8059,Jefferson County,10-14,16130,18154,2013
8070,Bow Mar,10-14,53,61,2013
8123,Weld County,10-14,8867,9860,2013
8675,Brighton,10-14,1610,1641,2013
12387,Castle Pines,10-14,672,476,2013
12415,Castle Rock,10-14,2148,1961,2013
12815,Centennial,10-14,3493,3955,2013
12910,Central City,10-14,6,31,2013
13845,Cherry Hills Village,10-14,352,306,2013
16385,Columbine Valley,10-14,42,37,2013
16495,Commerce City,10-14,1932,1753,2013
19080,Dacono,10-14,90,116,2013
19630,Deer Trail,10-14,18,22,2013
23135,Edgewater,10-14,86,175,2013
23740,Elizabeth,10-14,35,32,2013
24620,Empire,10-14,0,8,2013
24785,Englewood,10-14,578,759,2013
24950,Erie,10-14,623,663,2013
26270,Federal Heights,10-14,246,618,2013
26600,Firestone,10-14,363,396,2013
27700,Fort Lupton,10-14,340,206,2013
28105,Foxfield,10-14,20,37,2013
28360,Frederick,10-14,288,444,2013
29735,Georgetown,10-14,38,20,2013
30340,Glendale,10-14,14,21,2013
30835,Golden,10-14,448,492,2013
33035,Greenwood Village,10-14,669,664,2013
37820,Hudson,10-14,56,73,2013
38370,Idaho Springs,10-14,24,65,2013
39195,Jamestown,10-14,2,18,2013
40185,Keenesburg,10-14,84,99,2013
40790,Kiowa,10-14,27,25,2013
41835,Lafayette,10-14,854,873,2013
42495,Lakeside,10-14,0,0,2013
43000,Lakewood,10-14,3626,4221,2013
43550,Larkspur,10-14,5,9,2013
45255,Littleton,10-14,1238,1321,2013
45955,Lone Tree,10-14,350,606,2013
45970,Longmont,10-14,3089,3345,2013
46355,Louisville,10-14,793,598,2013
47070,Lyons,10-14,26,11,2013
49600,Mead,10-14,82,203,2013
52075,Morrison,10-14,1,4,2013
52350,Mountain View,10-14,3,16,2013
53175,Nederland,10-14,36,75,2013
54330,Northglenn,10-14,941,971,2013
57630,Parker,10-14,2334,2403,2013
60160,Platteville,10-14,154,63,2013
69645,Sheridan,10-14,161,321,2013
70360,Silver Plume,10-14,6,12,2013
75640,Superior,10-14,570,545,2013
77290,Thornton,10-14,5020,5086,2013
82735,Ward,10-14,0,5,2013
83835,Westminster,10-14,3536,4073,2013
84440,Wheat Ridge,10-14,743,907,2013
8124,Weld County (DRCOG),10-14,2015,2122,2013
8000,Region,10-14,95201,99473,2013
3455,Arvada,15-19,3265,3411,2013
4000,Aurora,15-19,10937,10983,2013
6090,Bennett,15-19,55,117,2013
7025,Black Hawk,15-19,0,0,2013
7850,Boulder City,15-19,5792,5936,2013
8001,Adams County,15-19,14501,15403,2013
8005,Arapahoe County,15-19,18723,20016,2013
8013,Boulder County,15-19,11894,12293,2013
8014,Broomfield City/County,15-19,1644,1799,2013
8019,Clear Creek County,15-19,161,207,2013
8031,Denver City/County,15-19,15806,15748,2013
8035,Douglas County,15-19,9761,10439,2013
8047,Gilpin County,15-19,128,90,2013
8059,Jefferson County,15-19,16464,18091,2013
8070,Bow Mar,15-19,48,39,2013
8123,Weld County,15-19,9518,9763,2013
8675,Brighton,15-19,1173,1063,2013
12387,Castle Pines,15-19,234,339,2013
12415,Castle Rock,15-19,1581,1608,2013
12815,Centennial,15-19,3357,4337,2013
12910,Central City,15-19,1,16,2013
13845,Cherry Hills Village,15-19,330,265,2013
16385,Columbine Valley,15-19,30,57,2013
16495,Commerce City,15-19,1640,1843,2013
19080,Dacono,15-19,159,100,2013
19630,Deer Trail,15-19,2,4,2013
23135,Edgewater,15-19,76,159,2013
23740,Elizabeth,15-19,56,35,2013
24620,Empire,15-19,10,25,2013
24785,Englewood,15-19,668,619,2013
24950,Erie,15-19,527,505,2013
26270,Federal Heights,15-19,265,360,2013
26600,Firestone,15-19,317,136,2013
27700,Fort Lupton,15-19,140,304,2013
28105,Foxfield,15-19,21,32,2013
28360,Frederick,15-19,153,299,2013
29735,Georgetown,15-19,35,21,2013
30340,Glendale,15-19,26,77,2013
30835,Golden,15-19,744,1375,2013
33035,Greenwood Village,15-19,429,682,2013
37820,Hudson,15-19,45,90,2013
38370,Idaho Springs,15-19,21,20,2013
39195,Jamestown,15-19,5,7,2013
40185,Keenesburg,15-19,60,66,2013
40790,Kiowa,15-19,35,10,2013
41835,Lafayette,15-19,789,496,2013
42495,Lakeside,15-19,0,0,2013
43000,Lakewood,15-19,4290,4049,2013
43550,Larkspur,15-19,10,3,2013
45255,Littleton,15-19,1248,1228,2013
45955,Lone Tree,15-19,308,450,2013
45970,Longmont,15-19,2491,3112,2013
46355,Louisville,15-19,782,533,2013
47070,Lyons,15-19,34,83,2013
49600,Mead,15-19,81,175,2013
52075,Morrison,15-19,0,3,2013
52350,Mountain View,15-19,11,7,2013
53175,Nederland,15-19,4,51,2013
54330,Northglenn,15-19,1453,1288,2013
57630,Parker,15-19,1803,1523,2013
60160,Platteville,15-19,68,133,2013
69645,Sheridan,15-19,387,153,2013
70360,Silver Plume,15-19,4,4,2013
75640,Superior,15-19,420,364,2013
77290,Thornton,15-19,3460,4212,2013
82735,Ward,15-19,4,0,2013
83835,Westminster,15-19,3137,3061,2013
84440,Wheat Ridge,15-19,666,681,2013
8124,Weld County (DRCOG),15-19,1481,1505,2013
8000,Region,15-19,90563,95591,2013
3455,Arvada,20-24,3085,3296,2013
4000,Aurora,20-24,11240,11712,2013
6090,Bennett,20-24,35,18,2013
7025,Black Hawk,20-24,0,0,2013
7850,Boulder City,20-24,10063,10607,2013
8001,Adams County,20-24,15087,15583,2013
8005,Arapahoe County,20-24,17920,18319,2013
8013,Boulder County,20-24,14791,16916,2013
8014,Broomfield City/County,20-24,1848,1697,2013
8019,Clear Creek County,20-24,232,152,2013
8031,Denver City/County,20-24,23398,22421,2013
8035,Douglas County,20-24,5619,5726,2013
8047,Gilpin County,20-24,34,65,2013
8059,Jefferson County,20-24,15218,17332,2013
8070,Bow Mar,20-24,12,5,2013
8123,Weld County,20-24,9731,9622,2013
8675,Brighton,20-24,1017,1381,2013
12387,Castle Pines,20-24,120,198,2013
12415,Castle Rock,20-24,883,1214,2013
12815,Centennial,20-24,2170,2844,2013
12910,Central City,20-24,10,8,2013
13845,Cherry Hills Village,20-24,35,107,2013
16385,Columbine Valley,20-24,8,18,2013
16495,Commerce City,20-24,1184,1073,2013
19080,Dacono,20-24,85,31,2013
19630,Deer Trail,20-24,8,0,2013
23135,Edgewater,20-24,306,163,2013
23740,Elizabeth,20-24,15,28,2013
24620,Empire,20-24,5,16,2013
24785,Englewood,20-24,1419,951,2013
