place,Jurisdiction,Age,Females,Males,year
49600,Mead,10-14,154,155,2010
52075,Morrison,10-14,2,2,2010
52350,Mountain View,10-14,9,13,2010
53175,Nederland,10-14,23,52,2010
54330,Northglenn,10-14,1128,1061,2010
57630,Parker,10-14,1594,1848,2010
60160,Platteville,10-14,80,130,2010
69645,Sheridan,10-14,45,203,2010
70360,Silver Plume,10-14,0,13,2010
75640,Superior,10-14,486,440,2010
77290,Thornton,10-14,4611,4384,2010
82735,Ward,10-14,0,6,2010
83835,Westminster,10-14,3674,3908,2010
84440,Wheat Ridge,10-14,705,863,2010
8124,Weld County (DRCOG),10-14,2029,1848,2010
8000,Region,10-14,88371,92925,2010
3455,Arvada,15-19,3701,3551,2010
4000,Aurora,15-19,10315,10415,2010
6090,Bennett,15-19,83,102,2010
7025,Black Hawk,15-19,0,0,2010
7850,Boulder City,15-19,5454,5778,2010
8001,Adams County,15-19,14087,15159,2010
8005,Arapahoe County,15-19,18421,19784,2010
8013,Boulder County,15-19,11673,11970,2010
8014,Broomfield City/County,15-19,1690,1921,2010
8019,Clear Creek County,15-19,302,269,2010
8031,Denver City/County,15-19,15740,16072,2010
8035,Douglas County,15-19,8449,9158,2010
8047,Gilpin County,15-19,130,108,2010
8059,Jefferson County,15-19,17249,19360,2010
8070,Bow Mar,15-19,42,41,2010
8123,Weld County,15-19,9352,9690,2010
8675,Brighton,15-19,1104,891,2010
12387,Castle Pines,15-19,126,74,2010
12390,Castle Pines North,15-19,219,406,2010
12415,Castle Rock,15-19,1265,1293,2010
12815,Centennial,15-19,3994,4160,2010
12910,Central City,15-19,23,11,2010
13845,Cherry Hills Village,15-19,328,344,2010
16385,Columbine Valley,15-19,39,55,2010
16495,Commerce City,15-19,1245,1127,2010
19080,Dacono,15-19,53,85,2010
19630,Deer Trail,15-19,6,3,2010
23135,Edgewater,15-19,67,143,2010
23740,Elizabeth,15-19,43,55,2010
24620,Empire,15-19,12,74,2010
24785,Englewood,15-19,789,837,2010
24950,Erie,15-19,463,380,2010
26270,Federal Heights,15-19,441,600,2010
26600,Firestone,15-19,270,241,2010
27700,Fort Lupton,15-19,292,245,2010
28105,Foxfield,15-19,58,54,2010
28360,Frederick,15-19,138,280,2010
29735,Georgetown,15-19,31,25,2010
30340,Glendale,15-19,45,205,2010
30835,Golden,15-19,673,996,2010
33035,Greenwood Village,15-19,341,738,2010
37820,Hudson,15-19,44,64,2010
38370,Idaho Springs,15-19,96,70,2010
39195,Jamestown,15-19,19,10,2010
40185,Keenesburg,15-19,55,30,2010
40790,Kiowa,15-19,17,1,2010
41835,Lafayette,15-19,740,680,2010
42495,Lakeside,15-19,0,0,2010
43000,Lakewood,15-19,4602,4822,2010
43550,Larkspur,15-19,0,6,2010
45255,Littleton,15-19,1215,1466,2010
45955,Lone Tree,15-19,368,438,2010
45970,Longmont,15-19,2438,2872,2010
46355,Louisville,15-19,833,596,2010
47070,Lyons,15-19,30,45,2010
49600,Mead,15-19,72,90,2010
52075,Morrison,15-19,2,6,2010
52350,Mountain View,15-19,21,19,2010
53175,Nederland,15-19,48,12,2010
54330,Northglenn,15-19,1635,1200,2010
57630,Parker,15-19,1470,1300,2010
60160,Platteville,15-19,65,107,2010
69645,Sheridan,15-19,289,162,2010
70360,Silver Plume,15-19,0,0,2010
75640,Superior,15-19,442,350,2010
77290,Thornton,15-19,3619,3649,2010
82735,Ward,15-19,0,6,2010
83835,Westminster,15-19,3777,3905,2010
84440,Wheat Ridge,15-19,560,935,2010
8124,Weld County (DRCOG),15-19,1522,1702,2010
8000,Region,15-19,89263,95503,2010
3455,Arvada,20-24,2684,3268,2010
4000,Aurora,20-24,10928,11035,2010
6090,Bennett,20-24,43,31,2010
7025,Black Hawk,20-24,0,8,2010
7850,Boulder City,20-24,8467,10391,2010
8001,Adams County,20-24,14283,14921,2010
8005,Arapahoe County,20-24,17196,17416,2010
8013,Boulder County,20-24,13642,16260,2010
8014,Broomfield City/County,20-24,1426,1593,2010
8019,Clear Creek County,20-24,115,136,2010
8031,Denver City/County,20-24,22900,22552,2010
8035,Douglas County,20-24,4981,4770,2010
8047,Gilpin County,20-24,49,57,2010
8059,Jefferson County,20-24,14994,16835,2010
8070,Bow Mar,20-24,14,0,2010
8123,Weld County,20-24,9208,9104,2010
8675,Brighton,20-24,941,983,2010
12387,Castle Pines,20-24,65,10,2010
12390,Castle Pines North,20-24,122,76,2010
12415,Castle Rock,20-24,810,900,2010
12815,Centennial,20-24,2091,2555,2010
12910,Central City,20-24,22,20,2010
13845,Cherry Hills Village,20-24,82,95,2010
16385,Columbine Valley,20-24,9,16,2010
16495,Commerce City,20-24,1160,896,2010
19080,Dacono,20-24,116,135,2010
19630,Deer Trail,20-24,20,15,2010
23135,Edgewater,20-24,224,127,2010
23740,Elizabeth,20-24,42,25,2010
24620,Empire,20-24,14,0,2010
24785,Englewood,20-24,1131,946,2010
24950,Erie,20-24,346,216,2010
26270,Federal Heights,20-24,609,520,2010
